2024-11-06 12:57:43,108 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2024-11-06 12:57:43,132 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2024-11-06 12:57:43,133 INFO  Logger.cs: 73 - Commit version 1.6.0-4-g7f85cfe
2024-11-06 12:57:43,133 INFO  Logger.cs: 74 - Build version 1.6.7995.38578
2024-11-06 12:57:43,134 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2024-11-06 12:57:43,135 INFO  SwAddin.cs: 197 - Setting up callbacks
2024-11-06 12:57:43,135 INFO  SwAddin.cs: 201 - Setting up command manager
2024-11-06 12:57:43,136 INFO  SwAddin.cs: 204 - Adding command manager
2024-11-06 12:57:43,137 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2024-11-06 12:57:43,138 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2024-11-06 12:57:43,138 INFO  SwAddin.cs: 210 - Adding event handlers
2024-11-06 12:57:43,140 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2024-11-06 13:04:23,847 INFO  SwAddin.cs: 294 - Assembly export called for file Line.SLDASM
2024-11-06 13:04:23,849 INFO  SwAddin.cs: 299 - Save is required
2024-11-06 13:04:23,849 INFO  SwAddin.cs: 313 - Saving assembly
2024-11-06 13:04:24,091 INFO  SwAddin.cs: 316 - Opening property manager
2024-11-06 13:04:24,101 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from Line.SLDASM
2024-11-06 13:04:24,105 INFO  ExportHelperExtension.cs: 1136 - Found 20 in Line.SLDASM
2024-11-06 13:04:24,105 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in Line.SLDASM
2024-11-06 13:04:24,105 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2024-11-06 13:04:24,106 INFO  ExportHelperExtension.cs: 1160 - 2 components to check
2024-11-06 13:04:24,107 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from element-1
2024-11-06 13:04:24,107 INFO  ExportHelperExtension.cs: 1136 - Found 34 in element-1
2024-11-06 13:04:24,108 INFO  ExportHelperExtension.cs: 1145 - Found 1 features of type [CoordSys] in element-1
2024-11-06 13:04:24,108 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from element-2
2024-11-06 13:04:24,108 INFO  ExportHelperExtension.cs: 1136 - Found 34 in element-2
2024-11-06 13:04:24,108 INFO  ExportHelperExtension.cs: 1145 - Found 1 features of type [CoordSys] in element-2
2024-11-06 13:04:24,109 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from Line.SLDASM
2024-11-06 13:04:24,109 INFO  ExportHelperExtension.cs: 1136 - Found 20 in Line.SLDASM
2024-11-06 13:04:24,109 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in Line.SLDASM
2024-11-06 13:04:24,109 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2024-11-06 13:04:24,109 INFO  ExportHelperExtension.cs: 1160 - 2 components to check
